Account number | Holdername | Gender | Account balance
------------------------------------------------------------
323369878933 | Chris Burton | o | 4639.33
230808614010 | Timothy Gray | f | 9175.68
935848261550 | Charles Mcmillan | f | 2692.06
317663279054 | Mary Holloway | f | 1578.81
463053769922 | Marvin Bellah | o | 1440.78
303254538898 | Courtney Holmes | m | 2266.35
263981618378 | Paula Choe | f | 5299.24
263510738124 | Elizabeth Flood | f | 5710.69
676624755385 | Randolph Walker | f | 4813.54
132814397119 | William Young | m | 4745.52
304685730306 | Matthew Clark | m | 873.34
828929953510 | Sylvia Burnett | o | 7174.6
591016504935 | Stephen Bentley | f | 6715.48
538169275236 | Brian West | f | 8995.84
130222049970 | Grace Gettle | m | 1910.56
349934067176 | Steve Smith | f | 1961.39
834476922549 | Corine Anderson | f | 5527.67
392650603594 | Edward Lancon | o | 4403.57
570902739434 | Stephanie Rice | f | 4808.62
691287374485 | Olga Perry | o | 3928.86
882231281973 | David Rollins | f | 6328.71
538715558918 | Jennifer Fluker | f | 4697.52
498866202116 | Aida Bergeron | o | 8222.63
521500951110 | Andrew Bell | f | 2366.61
927366135734 | Carolyn Fernandez | f | 1658.22
117391041155 | Judy Taylor | f | 6225.26
197034036936 | Laurie Crenshaw | f | 3149.55
120152899500 | Sheena Berryman | m | 559.12
884257744903 | Gilbert Malloy | o | 1315.32
559667535227 | Marcia Anaya | f | 7976.79
450923117611 | Julia Thomas | o | 348.54
864112302546 | Emilia Willis | m | 2796.33
447790820726 | Gia White | f | 9850.83
457937567517 | Lois Thompson | m | 9241.2
495747662931 | Arthur Welty | o | 8188.48
833231021807 | Nicholas Jesus | o | 2999.99
687169213459 | Tony Garcia | m | 8234.19
497733981203 | George Rivera | f | 1541.52
945679515677 | Evelyn Turner | f | 5719.01
117569437754 | Stephanie Mcginley | m | 1256.35
474665199806 | Connie Robertson | m | 3412.88
561033139909 | William Patterson | m | 728.13
221007415090 | Marjorie Brookshire | f | 4922.17
918101760444 | Craig Works | o | 9310.73
466953020611 | Jenae Poindexter | m | 2052.75
161512502431 | Ollie Overman | o | 4812.27
408429691123 | Roland Patel | m | 3463.78
836736456957 | Edith Minteer | f | 5434.69
669391190823 | Linda Brown | o | 8965.99
605993261483 | Antonia Saunders | m | 9035.39
196250447862 | Catherine Leblanc | m | 6288.39
573238097941 | Kenneth Wilson | m | 3299.99
418505099491 | Michael Fritz | m | 8332.64
430023520312 | Joseph Smith | f | 3472.34
365989372468 | Martha Rufenacht | f | 7754.08
222013096723 | Gary Fetzer | m | 1460.99
525005124447 | Raymond Rakowski | o | 9859.44
513174360643 | Mary Smart | m | 2401.92
140035541339 | Roberta Filipponi | f | 5352.02
342432083827 | Monty Chard | f | 8592.4
658993079481 | Maria Chick | m | 5180.86
283813443018 | Joseph Morgan | o | 8513.12
948012950362 | Sandra Plowden | m | 9495.76
394935101512 | Alphonso Delmonte | m | 8799.97
351889351430 | Lydia Wise | f | 3562.03
543928742961 | Dale Diaz | f | 2598.62
133150788827 | Helen Vick | o | 1710.85
470334144415 | Jeffrey Cropp | o | 724.99
541660785664 | Andrea Landsman | o | 2367.31
905005860393 | Christy Schultz | f | 6178.56
564212782471 | Betty Lyon | o | 3918.76
545056788526 | Randy Bania | m | 4700.6
994356321946 | Dovie Hayes | o | 4152.85
882767392467 | Helen Webb | m | 3338.63
220003192412 | Hal Torres | f | 9379.12
457666974520 | Brooke Sones | f | 8723.07
917227380642 | Stephen Skeels | f | 8984.52
843906754850 | Lisa Rodriguez | f | 2482.17
364999131986 | Kandi Tototzintle | f | 886.16
814005113521 | Renae Barta | m | 6425.12
603656993962 | Huey Arthur | f | 1746.13
296010737882 | Ambrose Rader | o | 4641.98
311103486487 | Florence Soto | m | 1437.99
485508841984 | John Farthing | o | 4859.14
320796750564 | Paula Cooper | o | 8379.43
466846419045 | Bobbie Powers | m | 3603.54
313221603357 | John Carter | m | 153.67
286427615953 | Robert Dean | o | 6988.27
132694498887 | Elizabeth Lewandowski | f | 1830.4
528941968903 | Tyrone Thompson | m | 4876.38
177047566133 | Francis Noble | f | 5554.14
207014248329 | Derrick Deweese | m | 5811.67
839803657818 | Wanda Corke | f | 5805.75
968932125833 | Nicholas Shreve | o | 7342.06
941793359381 | Casey Perez | m | 7092.61
748255441866 | Ramona Wiggins | m | 3076.43
439759372436 | Alexander Mclean | f | 7218.24
941291715459 | Angelina Mitchell | o | 3365.6
994364106794 | Brenda Kern | o | 8280.93
614631440469 | Shawna Affagato | f | 3442.94
232084608450 | Gary Johnson | m | 1263.61
831107008545 | Scott Steiner | o | 1079.18
706149658453 | Alice Vranicar | o | 5739.35
430567279102 | Jeremy Conant | f | 939.69
639437523902 | Russell Sundermeyer | f | 2769.35
197053156087 | Lillie Ashton | m | 6511.88
761861608518 | Eve Everett | o | 9662.66
648934953288 | Philip Robinson | m | 4531.99
141306502369 | Nelson Mendoza | o | 9094.32
654311161803 | Beth Palmer | m | 8251.39
463515898105 | Frances Ritter | o | 2569.32
338461143167 | Marion Williams | o | 6820.3
362007136314 | Dalia Dickey | o | 4542.5
254133635527 | Nellie Cogdill | o | 3242.01
842698263056 | Renee Harmon | m | 2538.66
985915753086 | Arthur Taylor | m | 3222.9
682931112052 | Kristi Davis | m | 9426.82
362378871599 | Michael Packwood | m | 600.83
510482104211 | Matthew Davis | f | 3527.49
331420181824 | Arlene Hecht | m | 2247.92
434173015666 | Kenneth Waller | f | 4107.53
